City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Rio Gallegos,AR,-51.6226,-69.2181,39.2,75,0,9.22,clear sky
145,Oranjemund,NA,-28.55,16.4333,60.42,89,23,6.55,few clouds
146,Sydney Mines,CA,46.2367,-60.2177,41.0,87,75,11.5,broken clouds
147,Ilongero,TZ,-4.6667,34.8667,57.33,97,43,7.07,scattered clouds
148,Breves,BR,-1.6822,-50.4803,74.32,97,100,3.29,moderate rain
149,Kapaa,US,22.0752,-159.319,78.8,57,40,20.71,moderate rain
150,Vaini,TO,-21.2,-175.2,78.8,78,75,5.75,light rain
151,Paamiut,GL,61.994,-49.6678,32.77,77,100,15.23,overcast clouds
152,Kolondieba,ML,11.0882,-6.8926,80.89,14,2,1.61,clear sky
153,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,50.0,87,89,2.3,overcast clouds
154,Geraldton,AU,-28.7667,114.6,78.8,44,97,19.57,overcast clouds
155,Karratha,AU,-20.7377,116.8463,84.25,65,100,14.79,overcast clouds
156,Ekhabi,RU,53.5102,142.9671,27.09,66,65,16.53,broken clouds
157,Marystown,CA,47.1666,-55.1483,43.93,92,100,18.45,overcast clouds
158,Yellowknife,CA,62.456,-114.3525,10.4,56,20,6.91,few clouds
159,Bambous Virieux,MU,-20.3428,57.7575,79.0,73,40,6.91,scattered clouds
160,Huilong,CN,31.8111,121.655,64.0,34,0,5.99,clear sky
161,San Cristobal,VE,7.7669,-72.225,75.2,94,40,2.3,scattered clouds
162,Henties Bay,NA,-22.116,14.2845,68.81,64,2,3.98,clear sky
163,Georgetown,MY,5.4112,100.3354,86.0,83,20,1.14,few clouds
164,Dikson,RU,73.5069,80.5464,6.87,75,100,11.72,overcast clouds
165,Krasnoselkup,RU,65.7,82.4667,22.82,92,100,2.33,overcast clouds
166,Nikolskoye,RU,59.7035,30.7861,33.01,80,0,8.95,clear sky
167,Meulaboh,ID,4.1363,96.1285,83.08,73,90,2.48,overcast clouds
168,Estelle,US,29.8458,-90.1067,75.2,100,75,10.36,broken clouds
169,Port Keats,AU,-14.25,129.55,89.78,56,91,5.44,overcast clouds
170,Port Blair,IN,11.6667,92.75,84.78,64,4,1.1,clear sky
171,Cape Town,ZA,-33.9258,18.4232,64.99,82,0,11.5,clear sky
172,Sabile,LV,57.0458,22.5726,34.92,84,74,12.5,broken clouds
173,Alekseyevsk,RU,57.8406,108.3492,31.84,90,100,9.06,light snow
174,Lexington,US,37.9887,-84.4777,61.0,88,90,6.91,overcast clouds
175,Kavieng,PG,-2.5744,150.7967,80.92,78,98,11.07,overcast clouds
176,Alyangula,AU,-13.8483,136.4192,87.8,58,73,8.05,broken clouds
177,Upata,VE,8.0086,-62.3989,81.0,83,100,4.0,overcast clouds
178,Malmesbury,ZA,-33.4608,18.7271,64.99,82,0,11.5,clear sky
179,Sangar,RU,63.9242,127.4739,25.11,92,100,14.2,light snow
180,Gizo,SB,-8.103,156.8419,81.55,81,100,16.73,moderate rain
181,Bairiki,KI,1.3292,172.9752,86.0,74,75,9.22,broken clouds
182,Bandarbeyla,SO,9.4942,50.8122,74.68,62,13,2.55,few clouds
183,Khoy,IR,38.5504,44.9535,57.33,41,32,4.43,scattered clouds
184,Port Lincoln,AU,-34.7333,135.8667,64.6,53,54,12.57,broken clouds
185,Kirakira,SB,-10.4544,161.9205,79.38,83,100,9.48,overcast clouds
186,Balsta,SE,59.5671,17.5278,35.01,93,90,14.97,light snow
187,Moose Factory,CA,51.2585,-80.6094,35.6,93,90,11.5,light rain
188,Corn Island,NI,12.1694,-83.0418,81.18,78,100,13.35,overcast clouds
189,Roma,US,43.2128,-75.4557,62.6,42,1,8.05,clear sky
190,Bethel,US,41.3712,-73.414,51.01,78,6,4.03,clear sky
191,Aktash,RU,50.3,87.7333,28.2,72,99,2.24,light snow
192,Husavik,IS,66.0449,-17.3389,24.8,46,90,11.5,overcast clouds
193,Sao Sebastiao,BR,-23.76,-45.4097,72.0,89,64,8.72,broken clouds
194,Nhulunbuy,AU,-12.2333,136.7667,87.8,62,40,6.91,scattered clouds
195,Dolores,AR,-36.3132,-57.6792,66.04,97,100,9.28,overcast clouds
196,Ovalle,CL,-30.5983,-71.2003,65.35,52,0,2.13,clear sky
197,Cruzilia,BR,-21.8386,-44.8083,54.54,93,0,5.08,clear sky
198,Hualmay,PE,-11.0964,-77.6139,69.3,87,100,6.02,overcast clouds
199,Tigil,RU,57.8,158.6667,29.89,75,100,15.59,overcast clouds
200,Noumea,NC,-22.2763,166.4572,82.4,69,0,3.44,moderate rain
201,Palana,RU,59.1167,159.9667,26.98,67,100,27.74,overcast clouds
202,Sibolga,ID,1.7427,98.7792,84.61,67,99,2.98,overcast clouds
203,Port-Gentil,GA,-0.7193,8.7815,81.39,78,100,9.35,moderate rain
204,Aklera,IN,24.4167,76.5667,86.58,17,0,10.78,clear sky
205,Znamenskoye,RU,57.1281,73.8282,33.71,88,100,10.92,overcast clouds
206,Crossville,US,35.949,-85.0269,66.2,68,1,3.44,clear sky
207,Tashigang,BT,27.3331,91.5542,71.33,49,62,3.38,broken clouds
208,Klaksvik,FO,62.2266,-6.589,30.2,64,75,27.63,light snow
209,Madang,PG,-5.2246,145.7966,86.72,61,100,5.93,overcast clouds
210,Misratah,LY,32.3754,15.0925,59.05,62,100,15.75,overcast clouds
211,Mount Gambier,AU,-37.8333,140.7667,60.8,59,90,13.8,overcast clouds
212,Grindavik,IS,63.8424,-22.4338,23.0,58,20,14.97,few clouds
213,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,73,0,4.61,clear sky
214,Ca Mau,VN,9.1769,105.15,91.94,46,82,5.35,broken clouds
215,Voznesenye,RU,61.0106,35.4781,25.92,90,8,10.92,clear sky
216,Altay,CN,47.8667,88.1167,45.19,52,9,3.69,clear sky
217,Cherskiy,RU,68.75,161.3,15.28,66,100,5.64,overcast clouds
218,La Asuncion,VE,11.0333,-63.8628,80.6,83,81,14.97,broken clouds
219,Shagonar,RU,51.5333,92.8,39.78,71,100,2.59,overcast clouds
