City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Baruun-Urt,MN,2021-04-06 02:55:08,46.6806,113.2792,41.09,34,71,5.68
187,Cap Malheureux,MU,2021-04-06 02:55:08,-19.9842,57.6142,78.01,81,100,3.0
188,Gurupi,BR,2021-04-06 02:55:09,-11.7292,-49.0686,74.91,78,89,2.86
189,Grand Gaube,MU,2021-04-06 02:55:09,-20.0064,57.6608,78.01,81,100,3.0
190,Port-Cartier,CA,2021-04-06 02:55:09,50.0334,-66.8654,42.8,100,90,6.91
191,Geraldton,AU,2021-04-06 02:55:10,-28.7667,114.6,77.0,57,75,9.22
192,Monrovia,LR,2021-04-06 02:55:10,6.3005,-10.7969,78.78,90,11,2.55
193,Cherskiy,RU,2021-04-06 02:55:10,68.75,161.3,-3.62,88,33,5.86
194,Haines Junction,CA,2021-04-06 02:55:11,60.7522,-137.5108,26.6,80,100,3.44
195,Acapulco,MX,2021-04-06 02:52:51,16.8634,-99.8901,82.4,69,20,5.75
196,Belmonte,BR,2021-04-06 02:55:11,-15.8631,-38.8828,73.4,88,40,4.61
197,Broken Hill,AU,2021-04-06 02:51:08,-31.95,141.4333,78.8,24,0,12.66
198,Limoges,FR,2021-04-06 02:55:11,45.75,1.3333,37.99,70,90,11.5
199,Igarka,RU,2021-04-06 02:55:12,67.4667,86.5833,31.91,94,100,14.54
200,Pavilosta,LV,2021-04-06 02:55:12,56.8879,21.1859,35.6,75,90,16.11
201,Linqing,CN,2021-04-06 02:55:12,36.8456,115.7117,61.27,29,50,6.02
202,Tucurui,BR,2021-04-06 02:55:13,-3.7661,-49.6725,74.16,95,100,2.46
203,Shimoda,JP,2021-04-06 02:55:13,34.6667,138.95,55.4,62,20,23.02
204,Iranshahr,IR,2021-04-06 02:55:13,27.2025,60.6848,66.2,14,0,6.91
205,Hithadhoo,MV,2021-04-06 02:53:23,-0.6,73.0833,83.23,70,56,12.1
206,Bonthe,SL,2021-04-06 02:55:14,7.5264,-12.505,78.6,89,16,1.86
207,Margate,GB,2021-04-06 02:51:14,51.3813,1.3862,37.99,59,5,8.99
208,Fortuna,US,2021-04-06 02:55:14,40.5982,-124.1573,53.01,81,1,11.5
209,Molokovo,RU,2021-04-06 02:55:15,58.1661,36.7628,31.33,84,88,14.88
210,Dikson,RU,2021-04-06 02:53:30,73.5069,80.5464,-0.83,99,99,2.71
211,Vangaindrano,MG,2021-04-06 02:55:15,-23.35,47.6,69.53,84,5,3.71
212,Zyryanovsk,KZ,2021-04-06 02:55:16,49.7386,84.2719,33.98,99,100,1.48
213,Ritchie,ZA,2021-04-06 02:54:14,-29.038,24.6028,55.4,88,11,4.61
214,Khatanga,RU,2021-04-06 02:55:16,71.9667,102.5,12.96,82,96,4.14
215,Zeya,RU,2021-04-06 02:55:16,53.75,127.2667,21.45,76,100,14.88
216,Kyra,RU,2021-04-06 02:55:17,49.5776,111.9753,40.05,32,25,5.99
217,Saint-Denis,FR,2021-04-06 02:55:17,48.9167,2.3333,33.01,80,0,5.19
218,Inverell,AU,2021-04-06 02:55:17,-29.7833,151.1167,66.99,62,100,8.99
219,Portlethen,GB,2021-04-06 02:55:18,57.0547,-2.1307,30.99,86,40,17.27
220,Kanelovskaya,RU,2021-04-06 02:55:18,46.5908,39.19,38.35,94,9,11.54
221,Cenotillo,MX,2021-04-06 02:55:18,20.9667,-88.6167,70.99,63,82,8.59
222,Victoria,HK,2021-04-06 02:53:53,22.2855,114.1577,75.99,80,98,1.99
223,Krasnoarmeysk,RU,2021-04-06 02:55:19,51.0239,45.6969,34.0,97,100,8.99
224,Tuatapere,NZ,2021-04-06 02:55:19,-46.1333,167.6833,61.0,75,12,18.99
225,Mahibadhoo,MV,2021-04-06 02:55:19,3.7833,72.9667,83.12,69,25,9.86
226,Meulaboh,ID,2021-04-06 02:55:19,4.1363,96.1285,81.88,79,97,4.12
227,Shivrajpur,IN,2021-04-06 02:55:20,22.4167,73.65,78.8,69,0,3.67
228,Gopamau,IN,2021-04-06 02:55:20,27.55,80.2833,88.12,6,49,11.65
229,Thompson,CA,2021-04-06 02:54:37,55.7435,-97.8558,32.0,100,90,11.5
230,Kharp,RU,2021-04-06 02:55:21,66.8014,65.8081,21.54,89,21,7.56
231,Georgetown,MY,2021-04-06 02:50:29,5.4112,100.3354,88.0,79,20,4.61
