City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,Krasnoselkup,RU,22.82,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
166,Nikolskoye,RU,33.01,clear sky,59.7035,30.7861,Tourist House - Sablino
167,Meulaboh,ID,83.08,overcast clouds,4.1363,96.1285,Kost Pria
168,Estelle,US,75.2,broken clouds,29.8458,-90.1067,Ohio
169,Port Keats,AU,89.78,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
170,Port Blair,IN,84.78,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
171,Cape Town,ZA,64.99,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
172,Sabile,LV,34.92,broken clouds,57.0458,22.5726,Abava rumba
174,Lexington,US,61.0,overcast clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
175,Kavieng,PG,80.92,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
176,Alyangula,AU,87.8,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
177,Upata,VE,81.0,overcast clouds,8.0086,-62.3989,Posada Villa Nela
178,Malmesbury,ZA,64.99,clear sky,-33.4608,18.7271,SuNel's Guest Rooms
180,Gizo,SB,81.55,moderate rain,-8.103,156.8419,Imagination Island
181,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
182,Bandarbeyla,SO,74.68,few clouds,9.4942,50.8122,JABIR HOTEL
183,Khoy,IR,57.33,scattered clouds,38.5504,44.9535,ترک سل
184,Port Lincoln,AU,64.6,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
185,Kirakira,SB,79.38,overcast clouds,-10.4544,161.9205,SanBiz Lodge
186,Balsta,SE,35.01,light snow,59.5671,17.5278,Bålsta Gästgivaregård AB
187,Moose Factory,CA,35.6,light rain,51.2585,-80.6094,Moosonee Lilypad
188,Corn Island,NI,81.18,overcast clouds,12.1694,-83.0418,Big Fish Guest House
189,Roma,US,62.6,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
190,Bethel,US,51.01,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
191,Aktash,RU,28.2,light snow,50.3,87.7333,Goluboye Geyzernoye Ozero
192,Husavik,IS,24.8,overcast clouds,66.0449,-17.3389,Bjarnabúð
193,Sao Sebastiao,BR,72.0,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
